Gene_acc,PG.ProteinAccessions,S1,S2,S3,I1,I2,I3,Desc
0,GFP.BLA,573144.5,510369.40625,730308.625,38023.42578125,23545.29296875,22325.283203125,GFP.BLA
2,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,74861.46875,79082.046875,70146.1875,60986.0703125,48804.94921875,97720.359375,"hypothetical protein, conserved"
3,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,544185.5625,620932.9375,652034.25,43252.8984375,35355.69921875,40863.67578125,"major vault protein, putative"
4,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,130475.625,56283.15625,56942.65234375,129447.421875,146551.765625,133668.3125,"hypothetical protein, conserved"
5,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,188637.3125,149604.171875,146555.859375,2925756.25,3310766.75,3030929.75,"paraflagellar rod component par4, putative"
6,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,7183208.5,6771144,6719057,454718.15625,428703.90625,488067,"ras-like small GTPase, putative"
7,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,132452.296875,146427.5625,153770.5625,119431.28125,151739.671875,117086.1171875,Kinetochore interacting protein 1
10,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,2509376.25,2589668.75,2495318.5,75674.6484375,141894.90625,49122.67578125,"guanine deaminase, putative"
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,252470.140625,365986.53125,266154.34375,2338694,2245895.5,2248823.25,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,102072.8984375,98530.203125,75714.328125,Filtered,Filtered,Filtered,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,1914690.25,2109492.5,2038994.375,761014.625,713945.25,730013.8125,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,104118.546875,98612.78125,109085.34375,2568825,3271395.5,2495107,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,349390.46875,328070.53125,275067.34375,1232074.625,1320537.5,1381355.25,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,29421.005859375,16179.64453125,14611.7177734375,882452.3125,827191.0625,838992,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,2389529.75,2203932.5,2236152.75,5921611.5,5122634,6224536,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,103054.2734375,86815.4140625,94688.1953125,522202.3125,615378.125,554956.5625,"dynein light chain, putative"
19,Tb06.3A7.960:mRNA-p1,276982.0625,330120.5,305452.75,1170937.875,1000634.5625,995928.5,hypothetical protein
20,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,467361.75,504815.125,539132.9375,513302.6875,461827.15625,475746.1875,"zinc finger protein family member, putative"
21,Tb09.v4.0009:mRNA-p1;Tb927.9.15660:mRNA-p1,221462.765625,241278.1875,238922.46875,118981.1328125,113400.515625,133682.140625,procyclic-enriched flagellar receptor adenylate cyclase 6
23,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,321963.125,407585.28125,322350.53125,242522.4375,231637.109375,193536.015625,hypothetical protein
25,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,348152.3125,297887.8125,309936.875,74150.140625,87006.3828125,77362.9375,"expression site-associated gene (ESAG) protein, putative"
26,Tb09.v4.0017:mRNA-p1;Tb927.9.15930:mRNA-p1,317928.09375,304759.4375,291601.96875,Filtered,Filtered,Filtered,"small GTPase, putative"
29,Tb09.v4.0067:pseudogenic_transcript-p1,3544768.25,3610388.75,3463537.25,8079111,8257228.5,8411825,"retrotransposon hot spot protein, pseudogene"
32,Tb09.v4.0109:mRNA-p1,258528.40625,275216.65625,296141.5,243475.484375,262958.125,278106.0625,hypothetical protein
34,Tb09.v4.0119:pseudogenic_transcript-p1,34731.90234375,40795.2109375,53754.4453125,5241.1083984375,8305.87890625,15160.330078125,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb09.v4.0150:pseudogenic_transcript-p1,160929.484375,184776.046875,166020.90625,29105.859375,Filtered,27374.451171875,"variant surface glycoprotein (VSG, pseudogene), putative"
38,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,507390.5625,495634.375,463288.625,514720.75,504333.71875,553375.625,pumillo RNA binding protein PUF1
39,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,170951.96875,432132.9375,439827.3125,232713.171875,343935.78125,251190.859375,predicted SAP domain protein
40,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,1087038.375,1123085,1149737.625,77026.53125,81229.40625,104886.0859375,"stress-inducible protein STI1-like, putative"
41,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,535473.375,482128.0625,570004.6875,Filtered,17202.765625,229143.6875,"leucine carboxyl methyltransferase, putative"
42,Tb10.v4.0037:mRNA-p1;Tb927.10.4470:mRNA-p1,312450.84375,346857.3125,362323.0625,27457.796875,70492.203125,9955.291015625,"hypothetical protein, conserved"
43,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,91370.359375,22705.11328125,9248.2939453125,354646.90625,348430.71875,315579.84375,"hypothetical protein, conserved"
44,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,643880.125,539644.75,554466.4375,97631.578125,Filtered,12548.435546875,cap guanine-N7 methyltransferase
45,Tb10.v4.0041:mRNA-p1,294275,316286.125,356894.125,42452.33203125,102883.9375,19471.2421875,"PUB domain containing protein, putative"
46,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,182524.578125,214900.046875,193117.953125,66323.90625,52510.78125,61403.9375,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
